model,hardware_type,run,latency_ms
mobilenet_v2,cpu,26,37.0605
mobilenet_v2,cpu,27,36.7465
mobilenet_v2,cpu,28,34.6621
mobilenet_v2,cpu,29,34.1854
mobilenet_v2,cpu,30,33.4145
mobilenet_v2,cpu,31,34.6234
mobilenet_v2,cpu,32,35.7337
mobilenet_v2,cpu,33,36.5242
mobilenet_v2,cpu,34,36.1413
mobilenet_v2,cpu,35,37.146
mobilenet_v2,cpu,36,34.0195
mobilenet_v2,cpu,37,36.3224
mobilenet_v2,cpu,38,46.2152
mobilenet_v2,cpu,39,49.7294
mobilenet_v2,cpu,40,34.9817
mobilenet_v2,cpu,41,43.2637
mobilenet_v2,cpu,42,56.2003
mobilenet_v2,cpu,43,40.0738
mobilenet_v2,cpu,44,41.2573
mobilenet_v2,cpu,45,32.8209
mobilenet_v2,cpu,46,33.4015
mobilenet_v2,cpu,47,33.6117
mobilenet_v2,cpu,48,33.1825
mobilenet_v2,cpu,49,33.3592
mobilenet_v2,cpu,50,34.256
mobilenet_v2,cpu,51,35.4998
mobilenet_v2,cpu,52,35.9651
mobilenet_v2,cpu,53,36.7023
mobilenet_v2,cpu,54,36.6235
mobilenet_v2,cpu,55,43.9832
mobilenet_v2,cpu,56,41.1383
mobilenet_v2,cpu,57,33.0213
mobilenet_v2,cpu,58,35.8075
mobilenet_v2,cpu,59,34.1359
mobilenet_v2,cpu,60,35.8097
mobilenet_v2,cpu,61,46.2087
mobilenet_v2,cpu,62,40.5539
mobilenet_v2,cpu,63,49.4848
mobilenet_v2,cpu,64,55.0155
mobilenet_v2,cpu,65,49.8564
mobilenet_v2,cpu,66,45.3731
mobilenet_v2,cpu,67,48.138
mobilenet_v2,cpu,68,41.6851
mobilenet_v2,cpu,69,52.6366
mobilenet_v2,cpu,70,62.8323
mobilenet_v2,cpu,71,43.8384
mobilenet_v2,cpu,72,36.1787
mobilenet_v2,cpu,73,37.3054
mobilenet_v2,cpu,74,40.7868
mobilenet_v2,cpu,75,48.1428
mobilenet_v2,cpu,76,64.8533
mobilenet_v2,cpu,77,51.1877
mobilenet_v2,cpu,78,39.4839
mobilenet_v2,cpu,79,34.4806
mobilenet_v2,cpu,80,35.2181
mobilenet_v2,cpu,81,34.1784
mobilenet_v2,cpu,82,33.7207
mobilenet_v2,cpu,83,35.3828
mobilenet_v2,cpu,84,39.8658
mobilenet_v2,cpu,85,38.0927
mobilenet_v2,cpu,86,35.0675
mobilenet_v2,cpu,87,32.1854
mobilenet_v2,cpu,88,36.6947
mobilenet_v2,cpu,89,37.1158
mobilenet_v2,cpu,90,34.64
mobilenet_v2,cpu,91,31.1026
mobilenet_v2,cpu,92,35.0144
mobilenet_v2,cpu,93,36.1966
mobilenet_v2,cpu,94,39.538
mobilenet_v2,cpu,95,42.4266
mobilenet_v2,cpu,96,40.986
mobilenet_v2,cpu,97,34.9301
mobilenet_v2,cpu,98,30.5226
mobilenet_v2,cpu,99,30.9499
mobilenet_v2,cpu,100,30.7362
resnet18,gpu,1,25.319254
resnet18,gpu,2,24.252186
resnet18,gpu,3,29.505799
resnet18,gpu,4,28.59284
resnet18,gpu,5,25.947417
resnet18,gpu,6,29.908873
